instrument_name,currency,figi,ticker,isin,sedol
AVEVA GRP,GBP,BBG000C21Y87,AVV,GB00BBG9VN75,BBG9VN7
BAE SYS.,GBP,BBG000BD5TW4,BA.,GB0002634946,0263494
BATM ADVANCED,GBP,BBG000BFJD77,BVC,IL0010849045,911146
BTG,GBP,BBG000BZZK79,BTG,GB0001001592,100159
COBHAM,GBP,BBG000BS6810,COB,GB00B07KD360,B07KD36
COMPUTACENTER,GBP,BBG000BN7CL9,CCC,GB00BV9FP302,BV9FP30
CONSORT MED.,GBP,BBG000BD8278,CSRT,GB0000946276,0094627
DIALIGHT,GBP,BBG000BLQNG4,DIA,GB0033057794,3305779
GENUS,GBP,BBG000CTMKX7,GNS,GB0002074580,0207458
GRESHAM TECH,GBP,BBG000BS2592,GHT,GB0008808825,0880882
KCOM GRP,GBP,BBG000BYWT85,KCOM,GB0007448250,0744825
MEGGITT,GBP,BBG000BDT1M0,MGGT,GB0005758098,0575809
MICRO FOCUS,GBP,BBG000G4KJC6,MCRO,GB00BD8YWM01,BD8YWM0
MICROGEN,GBP,BBG000BDSS88,MCGN,GB00BVVHWX30,BVVHWX3
NCC GRP,GBP,BBG000BS8WF0,NCC,GB00B01QGK86,B01QGK8
OXFORD BIOMED.,GBP,BBG000BMB7T9,OXB,GB00BDFBVT43,BDFBVT4
OXFORD INSTRMNT,GBP,BBG000BDWZZ7,OXIG,GB0006650450,665045
PADDY PWR BET,GBP,BBG000N8GHT0,PPB,IE00BWT6H894,BWXC0Z1
QINETIQ,GBP,BBG000HF3Y54,QQ.,GB00B0WMWD03,B0WMWD0
RENISHAW,GBP,BBG000BDZTQ8,RSW,GB0007323586,0732358
RICARDO,GBP,BBG000BDYQS3,RCDO,GB0007370074,0737007
SAGE GRP.,GBP,BBG000BN0PP3,SGE,GB00B8C3BL03,B8C3BL0
SDL,GBP,BBG000C4HGK1,SDL,GB0009376368,0937636
SMITH&NEPHEW,GBP,BBG000BF21F2,SN.,GB0009223206,0922320
SPECTRIS,GBP,BBG000CNV8Z5,SXS,GB0003308607,0330860
SPIRENT,GBP,BBG000C4LV50,SPT,GB0004726096,0472609
TRIAD GRP.,GBP,BBG000BL9R74,TRD,GB0009035741,0903574
ULTRA ELEC.,GBP,BBG000HHH4C3,ULE,GB0009123323,0912332
VECTURA,GBP,BBG000PRWXX8,VEC,GB00B01D1K48,B01D1K4
XAAR,GBP,BBG000BVKQF2,XAR,GB0001570810,0157081
XP POWER,GBP,BBG000BZMBQ2,XPP,SG9999003735,B1RMWL0
